fov_id,manual_density,manual_overlap,model_density_label,model_overlap_label,model_density_score,model_overlap_score,fluorescent_present,fluorescent_confidence,fluorescent_contrast_ratio
251,slightly dense,slight rouleaux,slightly dense,slight rouleaux,0.51607410008296,0.4469085462349441,False,0.0,1.3303
252,slightly dense,some rouleaux,slightly dense,slight rouleaux,0.5067798057640992,0.4394035230580083,False,0.0,1.4153
253,monolayer,no rouleaux,monolayer,no rouleaux,0.40390383322253925,0.33688907978573085,False,0.0,1.3501
254,monolayer,no rouleaux,monolayer,no rouleaux,0.42309688631676456,0.35491532669019393,False,0.0,1.5093
255,monolayer,no rouleaux,monolayer,no rouleaux,0.41318713717612277,0.35013351556509553,False,0.0,1.5866
256,monolayer,no rouleaux,monolayer,no rouleaux,0.3762662585910073,0.30867510340279436,False,0.0,1.2953
257,monolayer,no rouleaux,monolayer,no rouleaux,0.3876584298902132,0.32255944953837246,False,0.0,1.4069
258,monolayer,no rouleaux,monolayer,no rouleaux,0.4111450533343147,0.3386209358263968,False,0.0,1.4699
259,monolayer,no rouleaux,monolayer,no rouleaux,0.3988140462804191,0.3213738701449028,False,0.0,1.3151
260,monolayer,no rouleaux,monolayer,no rouleaux,0.39667789774676254,0.31879105729936585,False,0.0,1.5186
261,monolayer,no rouleaux,monolayer,no rouleaux,0.4327469347507476,0.359476051464981,False,0.0,1.4211
262,monolayer,no rouleaux,monolayer,no rouleaux,0.4394783959461752,0.3713188603600473,False,0.0,1.3292
263,monolayer,no rouleaux,monolayer,no rouleaux,0.44065917069575744,0.3687778727590247,False,0.0,1.3087
264,monolayer,no rouleaux,monolayer,no rouleaux,0.4043444517521732,0.32778834678251095,False,0.0,1.3227
265,monolayer,no rouleaux,monolayer,no rouleaux,0.4337498967869152,0.36702734585872876,False,0.0,1.4445
266,monolayer,no rouleaux,monolayer,no rouleaux,0.4084880176719166,0.33771279099969026,False,0.0,1.3717
267,monolayer,no rouleaux,monolayer,no rouleaux,0.38883795956956985,0.316797838256315,False,0.0,1.5877
268,monolayer,slight rouleaux,monolayer,no rouleaux,0.4420206358409124,0.36806147658699256,False,0.0,1.4088
269,monolayer,slight rouleaux,slightly dense,slight rouleaux,0.46806446650163636,0.40381401401627154,False,0.0,1.2773
270,monolayer,slight rouleaux,monolayer,no rouleaux,0.3817776171098054,0.3069233638573865,False,0.0,1.2598
271,sparser,no rouleaux,monolayer,no rouleaux,0.34831543224095635,0.30939249045389045,False,0.0,1.3448
272,monolayer,no rouleaux,monolayer,no rouleaux,0.3603108778998026,0.30254923855208177,False,0.0,1.3633
273,monolayer,no rouleaux,monolayer,no rouleaux,0.36002235593151327,0.29637829944130234,False,0.0,1.387
274,monolayer,no rouleaux,monolayer,no rouleaux,0.3504794178413526,0.28725026898848854,False,0.0,1.3629
275,monolayer,no rouleaux,monolayer,no rouleaux,0.3758308442589069,0.31283863733411366,False,0.0,1.4425
276,monolayer,no rouleaux,monolayer,no rouleaux,0.4126446587430376,0.343146676710568,False,0.0,1.3282
277,monolayer,no rouleaux,monolayer,no rouleaux,0.4079139829849683,0.3374406819839113,False,0.0,1.8825
278,monolayer,no rouleaux,monolayer,no rouleaux,0.40327712854411146,0.3376707384583407,False,0.0,1.3257
279,monolayer,no rouleaux,monolayer,no rouleaux,0.42521151541472446,0.3527548549383303,False,0.0,1.2797
280,monolayer,no rouleaux,slightly dense,slight rouleaux,0.4646831580764378,0.40788803878655944,False,0.0321,2.2251
281,monolayer,no rouleaux,monolayer,no rouleaux,0.4267204292052828,0.3569234796519317,False,0.0,1.6862
282,monolayer,no rouleaux,monolayer,no rouleaux,0.39692890733935077,0.3238061163716325,False,0.0,1.2688
283,monolayer,no rouleaux,monolayer,no rouleaux,0.37680224757448516,0.3027590957641252,False,0.0,1.233
284,monolayer,no rouleaux,monolayer,no rouleaux,0.3777028641926906,0.3073035374940209,False,0.0,1.3154
285,monolayer,no rouleaux,monolayer,no rouleaux,0.36490080997862895,0.2964870746309833,False,0.0,1.2793
286,monolayer,no rouleaux,monolayer,no rouleaux,0.3757104109652399,0.30226846395838486,False,0.0,1.1764
287,monolayer,no rouleaux,monolayer,no rouleaux,0.3781873605535078,0.31053903815488154,False,0.0,1.2851
288,monolayer,no rouleaux,monolayer,no rouleaux,0.34432675166659743,0.27158793598411085,False,0.0,1.3168
289,sparser,no rouleaux,monolayer,no rouleaux,0.3308672861419416,0.3284051857081605,False,0.0,1.305
290,monolayer,no rouleaux,monolayer,no rouleaux,0.32878810786268237,0.2874734834662015,False,0.0,1.2808
291,monolayer,no rouleaux,monolayer,no rouleaux,0.35301867784457486,0.3138755926355283,False,0.0,1.3582
292,monolayer,no rouleaux,monolayer,no rouleaux,0.35242984535436694,0.31237840067310774,False,0.0,1.2801
293,monolayer,no rouleaux,monolayer,no rouleaux,0.37094614870834225,0.3178861862697878,False,0.0,1.3015
294,monolayer,no rouleaux,monolayer,no rouleaux,0.3810229936501363,0.31247989085547084,False,0.0,1.3671
295,monolayer,no rouleaux,monolayer,no rouleaux,0.37296217426872574,0.29812426998770564,False,0.0,1.4349
296,monolayer,no rouleaux,monolayer,no rouleaux,0.38748723728121603,0.3282946429709901,False,0.0,1.5681
297,monolayer,no rouleaux,monolayer,no rouleaux,0.40292623797549076,0.3325900626055941,False,0.0,1.3967
298,monolayer,no rouleaux,monolayer,slight rouleaux,0.4347243944505249,0.3767561593428845,False,0.0,1.7908
299,monolayer,no rouleaux,monolayer,no rouleaux,0.38508434678369746,0.31534467148486445,False,0.0,1.2808
300,monolayer,no rouleaux,monolayer,no rouleaux,0.36224494499243187,0.2857528889914125,False,0.0,1.2867
301,monolayer,no rouleaux,monolayer,no rouleaux,0.3685303541460722,0.30116500390821327,False,0.0,1.368
302,monolayer,no rouleaux,monolayer,no rouleaux,0.3536859653912522,0.2842132377358215,False,0.0,2.0016
303,monolayer,no rouleaux,monolayer,no rouleaux,0.3300654117889064,0.2561254609749431,False,0.0,1.2885
304,monolayer,no rouleaux,monolayer,no rouleaux,0.3411821002497115,0.26862510814158,False,0.0,1.2205
305,monolayer,no rouleaux,monolayer,no rouleaux,0.31401803181478394,0.2465324142043767,False,0.0,1.3182
306,monolayer,no rouleaux,monolayer,no rouleaux,0.3334414240309347,0.2627123124369351,False,0.0,1.2804
307,sparser,no rouleaux,sparser,no rouleaux,0.2341140054726296,0.2786699101089204,False,0.0,1.3128
308,sparser,no rouleaux,sparser,no rouleaux,0.27911442783352397,0.253284293029788,False,0.0,1.7442
309,sparser,no rouleaux,sparser,no rouleaux,0.2656641135772337,0.24424233744750828,False,0.0,1.3029
310,sparser,no rouleaux,monolayer,no rouleaux,0.3111955624259041,0.2921140540651501,False,0.0,1.5088
311,monolayer,no rouleaux,monolayer,no rouleaux,0.3293126362050897,0.2962884930712211,False,0.0,1.4845
312,monolayer,no rouleaux,monolayer,no rouleaux,0.3671569746594176,0.3165334082279496,False,0.0,1.3782
313,monolayer,no rouleaux,monolayer,no rouleaux,0.3674265271890021,0.3121321174000483,False,0.0,1.258
314,monolayer,no rouleaux,monolayer,no rouleaux,0.3862734332059503,0.3382598513202807,False,0.0,1.2534
315,monolayer,no rouleaux,monolayer,no rouleaux,0.39022914489753213,0.3261124796837408,False,0.0,1.354
316,monolayer,no rouleaux,monolayer,no rouleaux,0.40719368903140973,0.35210127544979775,False,0.0,1.1992
317,monolayer,no rouleaux,monolayer,no rouleaux,0.37321447419216225,0.29930680354774253,False,0.0,1.3003
318,monolayer,no rouleaux,monolayer,no rouleaux,0.35332079316153664,0.2824744863044136,False,0.0,1.2955
319,monolayer,no rouleaux,monolayer,no rouleaux,0.3547441082903354,0.28462340596093755,False,0.0,1.2911
320,monolayer,no rouleaux,monolayer,no rouleaux,0.32892715403721,0.25168676818239144,False,0.0,1.3135
321,monolayer,no rouleaux,monolayer,no rouleaux,0.341780888218435,0.271697175518964,False,0.0,1.2831
322,monolayer,no rouleaux,monolayer,no rouleaux,0.33735295042197355,0.2703776926897706,False,0.0,1.2627
323,monolayer,no rouleaux,monolayer,no rouleaux,0.3459656538662714,0.28055602186040063,False,0.0,1.3655
324,monolayer,no rouleaux,monolayer,no rouleaux,0.3200996743736397,0.2526848932934785,False,0.0,1.5855
